This is a summary of the actual merkle distributor deployed (with some USDC and DAI pod addresses omitted),,
address,earnings,reasons
0x718fdf375e1930ba386852e35f5bafc31df3ae66,1007.33685,V2_USDC
0xad14e12a3d519abd62f23a4797e89f51d126d0f5,995.7544586,"V2_DAI,V2_USDC,V3_DAI"
0x3783a5a060071934ce8e8d0deb750d8dc6c04f89,992.6279349,"snapshot,V2_DAI,V3_DAI"
0xc7e36bc2f80543b6c244b147606f9501da6c6561,964.7307869,"snapshot,V3_DAI"
0xd1412b9db3c9667af10ca11ff3579e9e14ebb228,964.1629366,"snapshot,V1,V2_DAI,V3_DAI"
0xad54d739ef647b3b29bb5043a16317bdc1ddc470,963.8711778,V2_DAI
0x8cf391477b50f75789286f65a65ae1ebe0dbd7bd,963.6511424,"V1,V2_DAI,V2_SAI"
0x7f662ad0828a7464a3d83c46e3590ef2cb977b32,963.2482302,"snapshot,V3_DAI,V2_DAI"
0x6adedcf721bf7c07f40115f1bb1693ff0c34d444,961.1382658,V2_SAI
0x2ceecd39b36773ee05ea238a1581d0c1d83ddcfe,955.2831942,"V2_USDC,V2_DAI"
0x0d07584dc74a69fb81342f486091074b7ea5ad6c,955.0298351,V2_DAI
0x684f49bc1e04339d84f2370f14dc1491a3b4f113,950.3027396,"snapshot,V2_DAI,V2_USDC_POD,V2_DAI_POD,V2_USDC,V3_DAI,V3_UNI"
0xa0548034a6d4aa75d5a9b2b6146f7992bfc7a022,950.0148809,"snapshot,V3_DAI"
0x7a42680f70d8da5fcc08c69b43f4b0dcdcecf9c1,949.5108941,"snapshot,V3_DAI"
0xb2392ed8e6e1a4684c629be4f138de779dd3c1e4,942.7881403,V3_DAI
0x6453a526dafa5788ad09cac4a5ec9044d3684de0,941.2433731,V3_DAI
0x3253df627d18e9e1895b1b8a8b1e6564ad45982c,940.9870288,"snapshot,V2_SAI,V2_DAI"
0x7eec35333afb0ab6996085727e1939f008840410,934.9424594,"V2_USDC_POD,V2_USDC,V2_DAI"
0x24d10de50dcfcb21d9620be3042ee70adf69d1d4,929.4319209,"snapshot,V3_DAI,V3_UNI"
0x6b5e2cd96bd6038bf28e10cf21f7e67805259715,928.1200625,"snapshot,V3_DAI,V2_DAI"
0x33b07b604f56879f73ba3ade1483584056ee9ddd,928.1089943,"V2_USDC,V3_DAI"
0xcc1e0a566dbd10869c071c811aba436357858f05,923.1265406,"V3_UNI,V2_DAI,V3_DAI,V2_USDC"
0xab4382aadae5bf4b37b90b9dc07fc72d52e2a28a,908.7026677,"snapshot,V3_DAI"
0xe14e985c466fbb49fde0894aa75cb625a9713f24,906.4863385,V2_DAI
0xc88823c92e0a05446afd1ccb72aecf523d849267,906.2769146,"snapshot,V2_SAI,V2_DAI,V3_DAI"
0x02412bd3f80e8c42af80ab85e094cf88958f14ff,901.7844008,"V2_DAI_POD,V2_USDC,V2_DAI"
0x1a58a12d0331c5631e31a291df5d5817def29f77,900.6992407,"V2_DAI,V2_USDC"
0xe3a1ebb9a3de6e32b1444c43fb3d651b758570ab,900.437582,"snapshot,V3_DAI,V2_DAI"
0xca768c37ba6ec3d67be7b47bbe1f1c94ca216f46,900.1800091,"snapshot,V2_DAI_POD,V2_DAI,V3_USDC,V3_DAI,V3_UNI"
0xff16d64179a02d6a56a1183a28f1d6293646e2dd,897.2277119,"snapshot,V2_USDC,V3_DAI,V2_DAI"
0xcaacebe2fdac9d3783563b9b80c714df82705226,896.5487471,V3_DAI
0xe3ddba0f760d40fb7725d11a8bc4b62e2b092929,893.3183298,V3_DAI
0x97f6b1db8a4b178d80df83b202d68852f8a25bc6,885.2669007,"V3_DAI,V2_DAI"
0xee014609ef9e09776ac5fe00bdbfef57bcdefebb,879.7886259,"snapshot,V2_DAI,V3_DAI,V3_UNI"
0x733ec89184e239e34c3530c2a9205c2a8b5768e5,870.3984565,"snapshot,V2_DAI,V2_SAI,V3_DAI"
0x10e811b3f12f92e6ee6d776f611b4b481bfba766,869.486122,"V3_DAI,V2_USDC,V2_DAI"
0x82fa07dad4faf514d4c0fc6dbafde8882cb27a32,868.7407873,"V2_DAI,V2_USDC"
0xbe756458972aca6b480600ee146cb6e1a7866fc2,865.9551104,"V1,V2_DAI,V2_SAI,V3_DAI"
0xc9aadf0fd10504bbb81624eb05ff888aeff04987,861.5816,"snapshot,V2_DAI,V3_DAI"
0xa679a45e9fde61846afac70c321248ad097b47b7,859.4267785,"snapshot,V2_DAI,V3_DAI"
0xafa4d9b35ff0b4dc94d5f17b6dac3017df6f1a5c,859.2803563,"V2_USDC,V2_DAI,V3_DAI"
0x08e166bddc849cfd91084e828b5096085e8e0875,853.8608936,"snapshot,V3_DAI"
0x9c2731b4a9adae8b65402e7036318a607496db45,853.77828,"V2_DAI,V2_SAI,V2_USDC"
0xdb965bbad97d0784afc22a5d82a24c5478faf7f4,849.2357814,"snapshot,V2_DAI,V3_DAI"
0xde88d54819c4ae692fbb8f5f914ac5723951ee65,844.964966,"snapshot,V3_DAI"
0x13e5190a00d7cf39d46c0fdae3600c8713cafafa,843.8498255,"snapshot,V3_DAI"
0x63a0bab2bd70b7dafd2d7fa0fdbef0f53b4f4cf7,842.7581364,"snapshot,V3_DAI"
0xffd949f19d6ab09aba4c2a00200439ca673e0808,841.1110854,"snapshot,V3_DAI"
0x92f2c91d93b5049136c9d51cf8b29983c43ac738,840.7963947,V3_DAI
0xf78d352f3ce24d00e93d54239eb06a2dfb627716,840.7234925,"V2_USDC,V2_DAI"
0xdcd4bd57dfef4be2958da8ae6548b65d6d9841c5,837.2743318,"snapshot,V3_DAI"
0xc65480b54564e060771694cffb2c8e65a4b6af66,833.1367506,"V2_DAI,V3_DAI"
0x689476323eb5e9a5ded342f54b562fc2c156a522,826.5375032,"V2_DAI,V2_DAI_POD"
0xe2f6e3565a96cd24d6ba985563a26fb3c93cad04,825.6465057,"snapshot,V2_USDC,V2_DAI,V3_DAI"
0x32c16c318804f3e16b644ec0bad20b230e131928,816.2343298,V3_DAI
0xb6348bd11a6237acc0a0d1e903f8807e1c5a2489,814.073413,"snapshot,V2_DAI,V3_DAI"
0x566bd52454aed2dafd7469c8aba9e313a748cae7,811.4024792,"snapshot,V3_UNI,V2_SAI,V3_DAI,V2_DAI,V1"
0x069f7df9e177b4cc42f080473be79f5470ff07c1,809.516069,"snapshot,V2_DAI,V3_DAI"
0xdb761025a65cb7b45cd3544af31b75aea1f27ac8,806.7517575,V2_USDC
0x1cd6d86687adccaac08c12134aa569a780368b28,801.2304103,"V3_DAI,V2_DAI,V3_UNI,V3_USDC"
0x1084b55cb63de549806a521036f7dad2d37e3fae,800.9301937,"snapshot,V2_DAI,V3_DAI"
0xec04cfde3c2bd53d2e2b6ca19a8ca0ae69052775,800.4350095,"snapshot,V3_DAI,V3_UNI"
0xcf2cb80d2ddaa376661c40b496b927ab1a725536,793.4730139,V3_DAI
0x5c10afd2e8c8ae7e282aea60759209f32edfe3d8,790.3926993,"V2_SAI,V2_DAI,V3_UNI,V2_USDC,V3_USDC"
0x392027fdc620d397ca27f0c1c3dcb592f27a4dc3,786.316662,"snapshot,V2_DAI_POD,V2_DAI,V3_USDC,V3_DAI"
0x3218bf83f28b983bc97d2ef765639abe523ae865,783.5039186,V2_DAI
0x3889931763a3852644caacbec22ad3e18a8577c3,779.7036875,"snapshot,V2_DAI,V3_DAI"
0x8767c96e95e8ea8a3190aa4d835720df5ee6df11,777.4123817,"snapshot,V2_DAI,V3_DAI"
0x9238c46b544d3d01be091f3faa553afbe4d02d43,776.8920076,"snapshot,V3_DAI"
