This is a summary of the merkle distributor that should have been deployed,,
address,earnings,reasons
0x2c6e8512d1cd7fc226ed359269c39a243bd0bb67,1009.764968,"V2_DAI,V2_SAI,V3_DAI"
0xca15045ee8dcee775a5df027bd229cae6d73e76c,1008.021949,"snapshot,V3_DAI"
0x11b6a5fe2906f3354145613db0d99ceb51f604c9,1006.146606,"snapshot,V2_SAI,V2_DAI,V1,V3_DAI"
0x624f6964ecb9f9ccb6b3d5d33640a3440276b305,1003.559611,"snapshot,V2_DAI,V2_USDC,V3_DAI"
0x0f116a16230df6a5bc4eed493e930a0ae716db3c,1003.482068,"snapshot,V2_DAI,V2_DAI_POD,V3_DAI"
0xe8b1764ae2e927c61c0bf15fe39fa508e6bb426d,992.2054345,V2_DAI_POD
0x718fdf375e1930ba386852e35f5bafc31df3ae66,981.5057675,V2_USDC
0xad14e12a3d519abd62f23a4797e89f51d126d0f5,969.9475858,"V2_DAI,V2_USDC,V3_DAI"
0x3783a5a060071934ce8e8d0deb750d8dc6c04f89,968.0586854,"snapshot,V2_DAI,V3_DAI"
0xd711193c2068575bcfadf3d51b98a0f573cc6492,949.4281496,V2_DAI_POD
0xc7e36bc2f80543b6c244b147606f9501da6c6561,940.4535011,"snapshot,V3_DAI"
0xd1412b9db3c9667af10ca11ff3579e9e14ebb228,939.8919238,"snapshot,V1,V2_DAI,V3_DAI"
0x7f662ad0828a7464a3d83c46e3590ef2cb977b32,938.9873508,"snapshot,V3_DAI,V2_DAI"
0xad54d739ef647b3b29bb5043a16317bdc1ddc470,938.1396598,V2_DAI
0x8cf391477b50f75789286f65a65ae1ebe0dbd7bd,937.9201911,"V1,V2_DAI,V2_SAI"
0x7eec35333afb0ab6996085727e1939f008840410,935.8267174,"V2_USDC,V2_DAI,V2_USDC_POD"
0x6adedcf721bf7c07f40115f1bb1693ff0c34d444,935.4138334,V2_SAI
0x392027fdc620d397ca27f0c1c3dcb592f27a4dc3,935.1063951,"snapshot,V2_DAI,V3_USDC,V3_DAI,V2_DAI_POD"
0x2ceecd39b36773ee05ea238a1581d0c1d83ddcfe,929.5742906,"V2_USDC,V2_DAI"
0x0d07584dc74a69fb81342f486091074b7ea5ad6c,929.3216143,V2_DAI
0x684f49bc1e04339d84f2370f14dc1491a3b4f113,926.5880323,"snapshot,V2_DAI,V2_USDC_POD,V2_USDC,V3_DAI,V2_DAI_POD,V3_UNI"
0xa0548034a6d4aa75d5a9b2b6146f7992bfc7a022,925.9046194,"snapshot,V3_DAI"
0x7a42680f70d8da5fcc08c69b43f4b0dcdcecf9c1,925.4065197,"snapshot,V3_DAI"
0xb2392ed8e6e1a4684c629be4f138de779dd3c1e4,917.1140034,V3_DAI
0x3253df627d18e9e1895b1b8a8b1e6564ad45982c,916.9839413,"snapshot,V2_SAI,V2_DAI"
0x6453a526dafa5788ad09cac4a5ec9044d3684de0,915.5736917,V3_DAI
0x33b07b604f56879f73ba3ade1483584056ee9ddd,911.7161721,"V2_USDC,V3_DAI,V2_DAI_POD"
0x24d10de50dcfcb21d9620be3042ee70adf69d1d4,905.5714422,"snapshot,V3_DAI,V3_UNI"
0x6b5e2cd96bd6038bf28e10cf21f7e67805259715,904.2761692,"snapshot,V3_DAI,V2_DAI"
0xcc1e0a566dbd10869c071c811aba436357858f05,897.511795,"V3_UNI,V2_DAI,V3_DAI,V2_USDC"
0xab4382aadae5bf4b37b90b9dc07fc72d52e2a28a,885.1140252,"snapshot,V3_DAI"
0xc88823c92e0a05446afd1ccb72aecf523d849267,882.7214781,"snapshot,V2_SAI,V2_DAI,V3_DAI"
0xe14e985c466fbb49fde0894aa75cb625a9713f24,880.9265867,V2_DAI
0xca768c37ba6ec3d67be7b47bbe1f1c94ca216f46,878.3980017,"snapshot,V2_DAI,V2_DAI_POD,V3_USDC,V3_DAI,V3_UNI"
0xe3a1ebb9a3de6e32b1444c43fb3d651b758570ab,876.9633179,"snapshot,V3_DAI,V2_DAI"
0x02412bd3f80e8c42af80ab85e094cf88958f14ff,876.2410512,"V2_DAI_POD,V2_USDC,V2_DAI"
0x1a58a12d0331c5631e31a291df5d5817def29f77,875.1596797,"V2_DAI,V2_USDC"
0xff16d64179a02d6a56a1183a28f1d6293646e2dd,873.7988228,"snapshot,V2_USDC,V3_DAI,V2_DAI"
0xcaacebe2fdac9d3783563b9b80c714df82705226,871.0240158,V3_DAI
0xa4fe602319d67f8020dcd1fd72c20dc817fe47ca,862.5678143,"V2_DAI,V2_USDC_POD"
0x97f6b1db8a4b178d80df83b202d68852f8a25bc6,859.7839871,"V3_DAI,V2_DAI"
0xee014609ef9e09776ac5fe00bdbfef57bcdefebb,856.615889,"snapshot,V2_DAI,V3_DAI,V3_UNI"
0xfecde31d7ccf74927ad6c9beb65a465d1ade188f,848.7205847,"V2_DAI,V2_USDC,V2_DAI_POD,V3_DAI,V3_UNI,V2_USDC_POD"
0x733ec89184e239e34c3530c2a9205c2a8b5768e5,847.3706123,"snapshot,V2_DAI,V2_SAI,V3_DAI"
0x10e811b3f12f92e6ee6d776f611b4b481bfba766,844.0655338,"V3_DAI,V2_USDC,V2_DAI"
0x82fa07dad4faf514d4c0fc6dbafde8882cb27a32,843.3232567,"V2_DAI,V2_USDC"
0x689476323eb5e9a5ded342f54b562fc2c156a522,842.0375929,"V2_DAI,V2_DAI_POD"
0xbe756458972aca6b480600ee146cb6e1a7866fc2,840.549101,"V1,V2_DAI,V2_SAI,V3_DAI"
0xc9aadf0fd10504bbb81624eb05ff888aeff04987,838.694418,"snapshot,V2_DAI,V3_DAI"
0xa679a45e9fde61846afac70c321248ad097b47b7,836.5746692,"snapshot,V2_DAI,V3_DAI"
0xafa4d9b35ff0b4dc94d5f17b6dac3017df6f1a5c,833.9025566,"V2_USDC,V2_DAI,V3_DAI"
0x08e166bddc849cfd91084e828b5096085e8e0875,831.1006633,"snapshot,V3_DAI"
0x08e5e4df2f56be734ead5c80a3b2377616210a62,828.4989813,"V2_DAI,V2_DAI_POD"
0x9c2731b4a9adae8b65402e7036318a607496db45,828.424386,"V2_DAI,V2_SAI,V2_USDC"
0xdb965bbad97d0784afc22a5d82a24c5478faf7f4,826.5533309,"snapshot,V2_DAI,V3_DAI"
0xde88d54819c4ae692fbb8f5f914ac5723951ee65,822.3555086,"snapshot,V3_DAI"
0x13e5190a00d7cf39d46c0fdae3600c8713cafafa,821.2596143,"snapshot,V3_DAI"
0x63a0bab2bd70b7dafd2d7fa0fdbef0f53b4f4cf7,820.1868425,"snapshot,V3_DAI"
0x0f6ef5816456a014880bab576342c4f37f6c7898,819.4365898,"V2_DAI,V2_DAI_POD"
0xffd949f19d6ab09aba4c2a00200439ca673e0808,818.5684743,"snapshot,V3_DAI"
0x92f2c91d93b5049136c9d51cf8b29983c43ac738,815.501307,V3_DAI
0xf78d352f3ce24d00e93d54239eb06a2dfb627716,815.4287448,"V2_USDC,V2_DAI"
0xdcd4bd57dfef4be2958da8ae6548b65d6d9841c5,814.7992047,"snapshot,V3_DAI"
0xc65480b54564e060771694cffb2c8e65a4b6af66,807.8779903,"V2_DAI,V3_DAI"
0xe2f6e3565a96cd24d6ba985563a26fb3c93cad04,803.3817174,"snapshot,V2_USDC,V2_DAI,V3_DAI"
0xb6348bd11a6237acc0a0d1e903f8807e1c5a2489,792.0269232,"snapshot,V2_DAI,V3_DAI"
0x32c16c318804f3e16b644ec0bad20b230e131928,791.0601972,V3_DAI
0x566bd52454aed2dafd7469c8aba9e313a748cae7,789.4076745,"snapshot,V3_UNI,V2_SAI,V3_DAI,V2_DAI,V1"
0x069f7df9e177b4cc42f080473be79f5470ff07c1,787.5580681,"snapshot,V2_DAI,V3_DAI"
0xdb761025a65cb7b45cd3544af31b75aea1f27ac8,781.6278984,V2_USDC
0x1084b55cb63de549806a521036f7dad2d37e3fae,779.1428857,"snapshot,V2_DAI,V3_DAI"
0xec04cfde3c2bd53d2e2b6ca19a8ca0ae69052775,778.6577071,"snapshot,V3_DAI,V3_UNI"
0x1cd6d86687adccaac08c12134aa569a780368b28,776.1367829,"V3_DAI,V2_DAI,V3_UNI,V3_USDC"
0x5ea7ea516720a8f59c9d245e2e98bca0b6df7441,770.1961074,"snapshot,V2_USDC,V2_USDC_POD,V2_DAI,V3_DAI,V2_DAI_POD"
0xcf2cb80d2ddaa376661c40b496b927ab1a725536,768.4230851,V3_DAI
